School Name,School Type,Starting Median Salary,Mid Career Median Salary,StartFx,MidFX
Abilene Christian University,Private,40400,72800,96.18452%,99.59383%
Academy of Art University,"Private for-profit, Arts & Design",44800,76800,106.66006%,105.06602%
Adelphi University,Private Research Universities,48000,89100,114.27863%,121.89300%
Alabama A&M University (AAMU),State Schools,35300,58300,84.04241%,79.75715%
Alabama State University (ASU),State Schools,32200,54300,76.66192%,74.28496%
Albertus Magnus College,Liberal Arts,45200,64700,107.61238%,88.51265%
Albion College,Liberal Arts,36600,83600,87.13746%,114.36874%
Albright College,Liberal Arts,34200,63200,81.42353%,86.46058%
Alcorn State University,State Schools,32000,47900,76.18576%,65.52946%
Alfred University,Private,45800,79100,109.04086%,108.21253%
Allegheny College,Liberal Arts,38900,86900,92.61331%,118.88330%
Alma College,Liberal Arts,34600,67100,82.37585%,91.79596%
Alvernia University,Private,36000,61900,85.70897%,84.68212%
Alverno College,Private,44900,56100,106.89814%,76.74744%
American Intercontinental University (AIU),"Private for-profit, Private",38200,55200,90.94675%,75.51620%
American International College,Private,39000,58000,92.85139%,79.34673%
American Public University System,"Private for-profit, Private",45000,69800,107.13622%,95.48969%
"American University, Washington D.C.",Private Research Universities,43000,86600,102.37461%,118.47288%
Amherst College,Liberal Arts,51800,102000,123.32569%,139.54081%
Anderson University,Private,36500,56100,86.89938%,76.74744%
Andrews University,Private Research Universities,39800,62000,94.75603%,84.81892%
Angelo State University,State Schools,37400,66800,89.04210%,91.38555%
Appalachian State University,State Schools,35500,67300,84.51857%,92.06957%
Arcadia University,Private,40600,81600,96.66068%,111.63265%
Arizona State University (ASU),"State Schools, Party",44500,81600,105.94582%,111.63265%
Arkansas State University (ASU),State Schools,33900,60400,80.70928%,82.63005%
Arkansas Tech University,State Schools,40800,57700,97.13684%,78.93632%
Armstrong Atlantic State University (AASU),State Schools,41300,59800,98.32724%,81.80922%
Art Center College of Design,Arts & Design,48800,75600,116.18328%,103.42436%
Art Institute of Pittsburgh,"Private for-profit, Arts & Design",33800,51100,80.47120%,69.90721%
Asbury College,Liberal Arts,33900,47300,80.70928%,64.70863%
Ashford University,"Private for-profit, Private",33800,45600,80.47120%,62.38295%
Ashland University,Private,36700,63900,87.37554%,87.41821%
Assumption College,Private,45800,83900,109.04086%,114.77915%
Athens State University,State Schools,36100,60600,85.94706%,82.90366%
Auburn University,State Schools,44800,87400,106.66006%,119.56732%
Auburn University Montgomery (AUM),State Schools,37300,59100,88.80402%,80.85159%
Augsburg College,Private,41900,75400,99.75572%,103.15075%
Augusta State University,State Schools,36700,62600,87.37554%,85.63975%
"Augustana College, Illinois",Liberal Arts,41200,72400,98.08916%,99.04661%
"Augustana College, South Dakota",Private,41100,55200,97.85108%,75.51620%
Aurora University,Private,39900,70900,94.99411%,96.99454%
Austin College,Liberal Arts,37600,73500,89.51826%,100.55146%
Austin Peay State University,State Schools,38000,64600,90.47058%,88.37584%
Averett University,Private,33700,80300,80.23312%,109.85418%
Avila University,Private,42000,67200,99.99380%,91.93277%
Azusa Pacific University,Private Research Universities,39200,67100,93.32755%,91.79596%
Babson College,Private,57500,108000,136.89628%,147.74909%
Baker College,Private,35600,61300,84.75665%,83.86129%
Baker University,Liberal Arts,39800,61200,94.75603%,83.72448%
Baldwin-Wallace College,Private,39600,67900,94.27987%,92.89040%
Ball State University (BSU),State Schools,37100,67800,88.32786%,92.75360%
Barnard College - Columbia University,Liberal Arts,43800,75000,104.27925%,102.60353%
Barry University,Private Research Universities,45000,64900,107.13622%,88.78626%
Barton College,Private,35300,59900,84.04241%,81.94602%
Baruch College,State Schools,48900,83500,116.42136%,114.23194%
Bates College,Liberal Arts,45400,99800,108.08854%,136.53110%
Baylor University,Private Research Universities,45400,86200,108.08854%,117.92566%
Belhaven University,Private,34700,55400,82.61393%,75.78981%
Bellarmine University,State Schools,42200,72000,100.46996%,98.49939%
Bellevue University,Private,38400,66700,91.42291%,91.24874%
Belmont Abbey College,Private,40500,58500,96.42260%,80.03076%
Belmont University,Private,39500,64600,94.04179%,88.37584%
Beloit College,Liberal Arts,38500,74200,91.66099%,101.50910%
Bemidji State University (BSU),State Schools,36800,62600,87.61362%,85.63975%
Benedict College,Private,31400,50100,74.75727%,68.53916%
Benedictine University,Private,42000,66500,99.99380%,90.97513%
Bentley University,Private,50800,98500,120.94489%,134.75264%
Berea College,Liberal Arts,33200,52400,79.04272%,71.68567%
Berkeley College,"Private for-profit, Private",39300,64600,93.56563%,88.37584%
Berklee College of Music,Arts & Design,37300,66300,88.80402%,90.70152%
Berry College,Liberal Arts,36300,71300,86.42322%,97.54176%
"Bethel College, Indiana",Private,35700,59600,84.99473%,81.53561%
"Bethel University, Minnesota",Private,41600,73300,99.04148%,100.27785%
"Bethel University, Tennessee",Private,33400,47300,79.51888%,64.70863%
Bethune Cookman University,Private,34300,54500,81.66161%,74.55857%
Binghamton University,State Schools,49700,86000,118.32600%,117.65205%
Biola University,Private Research Universities,38700,73900,92.13715%,101.09868%
Birmingham Southern College,Liberal Arts,40900,62300,97.37492%,85.22934%
Black Hills State University,State Schools,32800,47000,78.09040%,64.29822%
Bloomfield College,Liberal Arts,40200,70100,95.70835%,95.90010%
Bloomsburg University of Pennsylvania,State Schools,39800,66800,94.75603%,91.38555%
Bluefield State College,State Schools,35300,61000,84.04241%,83.45087%
Bluffton University,Private,35000,53400,83.32817%,73.05372%
Bob Jones University,Private,38600,66300,91.89907%,90.70152%
Boise State University (BSU),State Schools,41000,66100,97.61300%,90.42792%
Boston College,Private Research Universities,49200,96800,117.13560%,132.42696%
Boston University,Private Research Universities,46900,88800,111.65975%,121.48259%
Bowdoin College,Liberal Arts,45300,103000,107.85046%,140.90885%
Bowie State University (BSU),State Schools,43900,68600,104.51733%,93.84803%
Bowling Green State University,State Schools,39200,71100,93.32755%,97.26815%
Bradley University,Private,44500,87900,105.94582%,120.25134%
Brandeis University,Private Research Universities,47100,77500,112.13591%,106.02365%
Brenau University,Private,36800,57000,87.61362%,77.97869%
Briar Cliff University,Private,38800,55300,92.37523%,75.65301%
Bridgewater College,Liberal Arts,35600,51900,84.75665%,71.00165%
Bridgewater State College,State Schools,38400,63800,91.42291%,87.28141%
Brigham Young University (BYU),Private Research Universities,48100,85900,114.51671%,117.51525%
Brooklyn College,State Schools,41500,74700,98.80340%,102.19312%
Brown University,"Private Research Universities, Ivy League",49400,109000,117.61176%,149.11714%
Bryant University,Private,49200,83500,117.13560%,114.23194%
Bryn Mawr College,Liberal Arts,41900,72900,99.75572%,99.73064%
Bucknell University,Liberal Arts,55800,115000,132.84891%,157.32542%
Buena Vista University,Private,35300,69400,84.04241%,94.94247%
Butler University,Private,41200,82000,98.08916%,112.17986%
Cabrini College,Private,40300,68800,95.94644%,94.12164%
Caldwell College,Private,40900,53500,97.37492%,73.19052%
California College of the Arts,Arts & Design,47400,100000,112.85015%,136.80471%
California Institute of Technology (Caltech),"Private Research Universities, Engineering",69900,120000,166.41826%,164.16566%
California Lutheran University (CLU),Private,48400,79200,115.23095%,108.34933%
"California Polytechnic State University, San Luis Obispo (CalPoly)",State Schools,55000,99200,130.94427%,135.71028%
"California State Polytechnic University, Pomona",State Schools,48500,93300,115.46904%,127.63880%
"California State University (CSU), Chico",State Schools,46900,83000,111.65975%,113.54791%
"California State University (CSU), Fresno (Fresno State)",State Schools,43500,80300,103.56501%,109.85418%
"California State University (CSU), Stanislaus",State Schools,40000,71900,95.23219%,98.36259%
"California State University, Bakersfield (CSUB)",State Schools,46000,64500,109.51702%,88.23904%
"California State University, Dominguez Hills (CSUDH)",State Schools,43400,71900,103.32693%,98.36259%
"California State University, East Bay (CSUEB)",State Schools,48800,79800,116.18328%,109.17016%
"California State University, Fullerton (CSUF)",State Schools,42500,81800,101.18421%,111.90626%
"California State University, Long Beach (CSULB)",State Schools,44400,82700,105.70774%,113.13750%
"California State University, Los Angeles (CSULA)",State Schools,44200,77300,105.23157%,105.75004%
"California State University, Northridge (CSUN)",State Schools,43200,81300,102.85077%,111.22223%
"California State University, Sacramento (CSUS)",State Schools,44600,84500,106.18390%,115.59998%
"California State University, San Bernardino (CSUSB)",State Schools,40900,66800,97.37492%,91.38555%
"California State University, San Marcos (CSUSM)",State Schools,42900,69800,102.13653%,95.48969%
California University of Pennsylvania (Cal U),State Schools,37400,62400,89.04210%,85.36614%
Calvin College,Liberal Arts,40500,73100,96.42260%,100.00425%
Cameron University,State Schools,32500,62400,77.37616%,85.36614%
Campbell University,Private,35200,58700,83.80433%,80.30437%
Canisius College,Private,37600,73300,89.51826%,100.27785%
Capella University,"Private for-profit, Private Research Universities",43400,70800,103.32693%,96.85774%
Capital University,Private,35600,67000,84.75665%,91.65916%
Cardinal Stritch University,Private,44600,65400,106.18390%,89.47028%
Carleton College,Liberal Arts,42300,105000,100.70805%,143.64495%
Carlow University,Private,43000,57500,102.37461%,78.66271%
Carnegie Mellon University (CMU),"Private Research Universities, Engineering",62400,108000,148.56222%,147.74909%
"Carroll College, Montana",Liberal Arts,38600,64000,91.89907%,87.55502%
"Carroll University, Wisconsin",Private,40300,60100,95.94644%,82.21963%
Carson Newman College,Liberal Arts,33200,55000,79.04272%,75.24259%
Carthage College,Private,37900,77300,90.23250%,105.75004%
Case Western Reserve University,"Private Research Universities, Engineering",54600,98600,129.99194%,134.88945%
Catholic University of America,Private Research Universities,45500,75900,108.32662%,103.83478%
Cedar Crest College,Liberal Arts,41800,56900,99.51764%,77.84188%
Cedarville University,Private,38900,54300,92.61331%,74.28496%
Centenary College,Private,41800,61000,99.51764%,83.45087%
Central College,Liberal Arts,38000,76300,90.47058%,104.38200%
Central Connecticut State University,State Schools,43400,77200,103.32693%,105.61324%
Central Michigan University,State Schools,37900,65500,90.23250%,89.60709%
Central State University,State Schools,34600,55700,82.37585%,76.20023%
Central Washington University (CWU),State Schools,42600,76600,101.42229%,104.79241%
Chaminade University,Private,37000,59900,88.08978%,81.94602%
Chapman University,Private,40900,78500,97.37492%,107.39170%
Charleston Southern University (CSU),Private,37100,64500,88.32786%,88.23904%
Charter Oak State College,State Schools,55600,78400,132.37275%,107.25489%
Chestnut Hill College,Private,34100,65000,81.18545%,88.92306%
Chicago State University (CSU),State Schools,39600,54200,94.27987%,74.14815%
Christian Brothers University,Private,43600,87500,103.80309%,119.70412%
Christopher Newport University,State Schools,39600,61500,94.27987%,84.13490%
City College of New York (CCNY),State Schools,48300,77900,114.99287%,106.57087%
Claremont McKenna College,Liberal Arts,58700,104000,139.75324%,142.27690%
Clarion University of Pennsylvania,State Schools,34800,65100,82.85201%,89.05987%
Clark Atlanta University (CAU),Private Research Universities,38700,59600,92.13715%,81.53561%
Clark University,Private Research Universities,40200,78700,95.70835%,107.66531%
Clarke College,Liberal Arts,37600,65500,89.51826%,89.60709%
Clarkson University,"Private Research Universities, Engineering",57200,99600,136.18204%,136.25749%
Clayton College & State University,State Schools,39800,56300,94.75603%,77.02105%
Clemson University,State Schools,47500,83800,113.08823%,114.64235%
Cleveland State University,State Schools,41000,72700,97.61300%,99.45703%
Coe College,Liberal Arts,40600,74000,96.66068%,101.23549%
Coker College,Private,28900,40300,68.80526%,55.13230%
Colby College,Liberal Arts,43000,93000,102.37461%,127.22838%
Colgate University,Liberal Arts,48700,119000,115.94520%,162.79761%
College for Creative Studies,Arts & Design,40600,64000,96.66068%,87.55502%
College of Charleston,State Schools,35700,66900,84.99473%,91.52235%
College of Mount St. Joseph,Private,35800,59800,85.23281%,81.80922%
College of New Rochelle,Private,35400,55900,84.28049%,76.47383%
College of Notre Dame of Maryland,Private,45900,71500,109.27894%,97.81537%
College of Our Lady of the Elms,Private,39700,68800,94.51795%,94.12164%
College of St Benedict,State Schools,40900,75400,97.37492%,103.15075%
College of Staten Island,State Schools,43700,75700,104.04117%,103.56117%
College of the Holy Cross,Liberal Arts,46700,106000,111.18359%,145.01300%
College of the Ozarks,Private,30700,53400,73.09071%,73.05372%
Colorado Christian University,Private,40700,71200,96.89876%,97.40496%
Colorado College (CC),Liberal Arts,40400,87100,96.18452%,119.15691%
Colorado School of Mines,"State Schools, Engineering",61600,113000,146.65758%,154.58933%
Colorado State University (CSU),State Schools,44200,79300,105.23157%,108.48614%
"Colorado State University (CSU), Pueblo",State Schools,36600,71500,87.13746%,97.81537%
Colorado Technical University,"Private for-profit, Private",42200,67400,100.46996%,92.20638%
Colorado Technical University Online,"Private for-profit, Private",39900,54600,94.99411%,74.69537%
Columbia College,Private,36000,63300,85.70897%,86.59738%
Columbia Southern University,"Private for-profit, Private",47900,65300,114.04055%,89.33348%
Columbia University,"Private Research Universities, Ivy League",54300,99700,129.27770%,136.39430%
Columbus College of Art And Design,Arts & Design,36100,58300,85.94706%,79.75715%
Columbus State University,State Schools,37800,62600,89.99442%,85.63975%
Concord University,State Schools,34600,42400,82.37585%,58.00520%
"Concordia College, Moorehead, Minnesota",Liberal Arts,39700,74100,94.51795%,101.37229%
"Concordia College, Nebraska",Private,37600,51200,89.51826%,70.04401%
Concordia University at Irvine,Private,40000,84900,95.23219%,116.14720%
Concordia University Wisconsin,Private,38900,56200,92.61331%,76.88425%
Connecticut College,Liberal Arts,43200,86300,102.85077%,118.06247%
Cooper Union,"Private, Engineering",57100,94200,135.94396%,128.87004%
Cornell College,Liberal Arts,37700,71500,89.75634%,97.81537%
Cornell University,"Private Research Universities, Ivy League",57500,106000,136.89628%,145.01300%
Creighton University,Private,44500,81400,105.94582%,111.35904%
Culinary Institute of America (CIA),Private,38300,58700,91.18483%,80.30437%
CUNY John Jay College Criminal Justice,State Schools,36300,68000,86.42322%,93.02720%
Daemen College,Private,36500,69300,86.89938%,94.80567%
Dakota State University,State Schools,38700,49700,92.13715%,67.99194%
Dallas Baptist University,Private,40400,65500,96.18452%,89.60709%
Dartmouth College,"Private Research Universities, Ivy League",54100,123000,128.80154%,168.26980%
Davenport University,Private,37500,50700,89.28018%,69.35999%
Davidson College,Liberal Arts,42100,101000,100.23188%,138.17276%
Delaware State University,State Schools,36200,66000,86.18514%,90.29111%
Delaware Valley College,Private,38600,52600,91.89907%,71.95928%
Delta State University,State Schools,32400,55200,77.13808%,75.51620%
Denison University,Liberal Arts,38700,89400,92.13715%,122.30341%
DePaul University,Private Research Universities,43900,83900,104.51733%,114.77915%
DePauw University,"Liberal Arts, Party",43500,85600,103.56501%,117.10483%
DeSales University,Private,41400,73600,98.56532%,100.68827%
Devry University,"Private for-profit, Private, Engineering",44900,71400,106.89814%,97.67857%
Dickinson College,Liberal Arts,45900,99100,109.27894%,135.57347%
Dominican College,Private,44600,71200,106.18390%,97.40496%
Dordt College,Private,37600,69500,89.51826%,95.07928%
Dowling College,Private,41900,76100,99.75572%,104.10839%
Drake University,Private,41400,84100,98.56532%,115.05276%
Drew University,Liberal Arts,42600,68000,101.42229%,93.02720%
Drexel University,Private Research Universities,52500,94000,124.99225%,128.59643%
Drury University,Private,39300,59700,93.56563%,81.67241%
Duke University,Private Research Universities,55300,117000,131.65851%,160.06151%
Duquesne University,Private Research Universities,43300,79600,103.08885%,108.89655%
D'Youville College,Private,52200,62900,124.27801%,86.05016%
Earlham College,Liberal Arts,35800,74700,85.23281%,102.19312%
East Carolina University (ECU),State Schools,38700,64400,92.13715%,88.10224%
East Central University,State Schools,40600,50100,96.66068%,68.53916%
East Stroudsburg University (ESU),State Schools,37500,64800,89.28018%,88.64945%
East Tennessee State University (ETSU),State Schools,36500,59000,86.89938%,80.71478%
East Texas Baptist University (ETBU),Private,38400,47000,91.42291%,64.29822%
Eastern Connecticut State University,State Schools,42000,71800,99.99380%,98.22578%
Eastern Illinois University,State Schools,35900,69900,85.47089%,95.62649%
Eastern Kentucky University,State Schools,36200,62900,86.18514%,86.05016%
Eastern Michigan University,State Schools,38900,71400,92.61331%,97.67857%
Eastern New Mexico University,State Schools,33600,67400,79.99504%,92.20638%
Eastern University,Private,37000,67000,88.08978%,91.65916%
Eastern Washington University,State Schools,37900,66500,90.23250%,90.97513%
Eckerd College,Liberal Arts,41200,67800,98.08916%,92.75360%
Edinboro University,State Schools,35400,57300,84.28049%,78.38910%
Elizabethtown College,Private,40800,74900,97.13684%,102.46673%
Elmhurst College,Private,40200,74300,95.70835%,101.64590%
Elon University,Private,41900,73600,99.75572%,100.68827%
Embry-Riddle Aeronautical University (ERAU),Private,53300,79600,126.89690%,108.89655%
Emerson College,Private,38400,70200,91.42291%,96.03691%
Emory University,Private Research Universities,47500,90000,113.08823%,123.12424%
Empire State College,State Schools,38800,64500,92.37523%,88.23904%
Emporia State University,State Schools,39200,61100,93.32755%,83.58768%
Evangel University,Liberal Arts,33500,50200,79.75696%,68.67597%
Evergreen State College,State Schools,38800,64800,92.37523%,88.64945%
Excelsior College,Liberal Arts,52500,75000,124.99225%,102.60353%
Fairfield University,Private,50100,104000,119.27832%,142.27690%
Fairleigh Dickinson University,Private,46000,76600,109.51702%,104.79241%
Fairmont State University,State Schools,39200,62900,93.32755%,86.05016%
Farmingdale State College,State Schools,42700,78200,101.66037%,106.98129%
Fashion Institute of Technology,State Schools,43900,76400,104.51733%,104.51880%
Faulkner University,Private,31800,49700,75.70959%,67.99194%
Fayetteville State University,State Schools,35300,50300,84.04241%,68.81277%
Felician College,Private,62600,72400,149.03838%,99.04661%
Ferris State University,State Schools,42200,70800,100.46996%,96.85774%
Ferrum College,Liberal Arts,37200,70000,88.56594%,95.76330%
Fitchburg State College,State Schools,40100,68300,95.47027%,93.43762%
Florida Agricultural and Mechanical (A&M) University (FAMU),State Schools,40000,68500,95.23219%,93.71123%
Florida Atlantic University (FAU),State Schools,40900,71600,97.37492%,97.95217%
Florida Hospital College of Health Sciences,Private,52500,67200,124.99225%,91.93277%
Florida Institute of Technology (Florida Tech),"Private Research Universities, Engineering",50700,84500,120.70681%,115.59998%
Florida International University (FIU),State Schools,41200,73400,98.08916%,100.41466%
Florida Southern College,Private,35300,63000,84.04241%,86.18697%
Florida State University (FSU),"State Schools, Party",40100,73900,95.47027%,101.09868%
Fontbonne University,Private,36000,57100,85.70897%,78.11549%
Fordham University,Private Research Universities,44100,96200,104.99349%,131.60613%
Fort Hays State University (FHSU),State Schools,40200,58800,95.70835%,80.44117%
Fort Lewis College,State Schools,40200,64700,95.70835%,88.51265%
Framingham State College,State Schools,39600,63000,94.27987%,86.18697%
Franklin and Marshall College,Liberal Arts,47500,82500,113.08823%,112.86389%
Franklin Pierce University,Liberal Arts,41300,69200,98.32724%,94.66886%
Franklin University,Private,40900,63900,97.37492%,87.41821%
Friends University,Private,36000,56200,85.70897%,76.88425%
Frostburg State University,State Schools,41000,67900,97.61300%,92.89040%
Furman University,Liberal Arts,40300,76200,95.94644%,104.24519%
Gannon University,Private,43200,72300,102.85077%,98.90981%
Gardner-Webb University,Private,32100,59500,76.42384%,81.39880%
Geneva College,Private,37600,50000,89.51826%,68.40236%
George Fox University,Private Research Universities,42100,58400,100.23188%,79.89395%
George Mason University,State Schools,49700,86500,118.32600%,118.33608%
George Washington University (GWU),Private Research Universities,48500,93500,115.46904%,127.91241%
Georgetown University,Private Research Universities,52500,104000,124.99225%,142.27690%
Georgia College & State University (GCSU),State Schools,38000,61400,90.47058%,83.99809%
Georgia Institute of Technology,"State Schools, Engineering",57300,105000,136.42012%,143.64495%
Georgia Southern University,State Schools,38500,67500,91.66099%,92.34318%
Georgia Southwestern State University,State Schools,35100,62000,83.56625%,84.81892%
Georgia State University,State Schools,41400,72500,98.56532%,99.18342%
Georgian Court University,Private,39900,64300,94.99411%,87.96543%
Gettysburg College,Liberal Arts,43200,90100,102.85077%,123.26105%
Gonzaga University,Private,45700,81600,108.80278%,111.63265%
"Gordon College, Massachusetts",Liberal Arts,36000,77400,85.70897%,105.88685%
Goucher College,Liberal Arts,39200,73200,93.32755%,100.14105%
Governors State University,State Schools,42200,63000,100.46996%,86.18697%
Graceland University,Private,42900,64300,102.13653%,87.96543%
Grambling State University,State Schools,38700,53500,92.13715%,73.19052%
Grand Canyon University,"Private for-profit, Private",43000,71200,102.37461%,97.40496%
Grand Valley State University,State Schools,36800,63400,87.61362%,86.73419%
Grand View University (GVU),Private,38400,61700,91.42291%,84.40851%
Grinnell College,Liberal Arts,40900,78600,97.37492%,107.52850%
Grove City College,Liberal Arts,46200,77600,109.99318%,106.16046%
Guilford College,Liberal Arts,34200,65600,81.42353%,89.74389%
Gustavus Adolphus College,Liberal Arts,41400,81300,98.56532%,111.22223%
Gwynedd-Mercy College,Private,45600,64800,108.56470%,88.64945%
Hamilton College,Liberal Arts,45600,75500,108.56470%,103.28756%
Hamline University,Private,39100,76700,93.08947%,104.92921%
Hampden-Sydney College,Liberal Arts,49800,95200,118.56408%,130.23809%
Hampton University,Private,44600,72800,106.18390%,99.59383%
Harding University,Private,38400,78300,91.42291%,107.11809%
Hardin-Simmons University (HSU),Private,41400,62300,98.56532%,85.22934%
Hartwick College,Liberal Arts,41000,69600,97.61300%,95.21608%
Harvard University,"Private Research Universities, Ivy League",57300,121000,136.42012%,165.53370%
Harvey Mudd College,"Liberal Arts, Engineering",68900,126000,164.03745%,172.37394%
Hastings College,Liberal Arts,34700,57700,82.61393%,78.93632%
Haverford College,Liberal Arts,39500,102000,94.04179%,139.54081%
Hawaii Pacific University,Private,43600,71700,103.80309%,98.08898%
Heidelberg University,Private,33500,66600,79.75696%,91.11194%
Henderson State University,State Schools,37700,65100,89.75634%,89.05987%
Hendrix College,Liberal Arts,40100,97500,95.47027%,133.38460%
Herbert H. Lehman College,State Schools,43100,60700,102.61269%,83.04046%
High Point University,Private,36900,58700,87.85170%,80.30437%
Hillsdale College,Liberal Arts,37000,79600,88.08978%,108.89655%
Hiram College,Liberal Arts,39000,73600,92.85139%,100.68827%
Hobart William Smith Colleges,Liberal Arts,42200,97300,100.46996%,133.11099%
Hofstra University,Private Research Universities,49400,87100,117.61176%,119.15691%
Holy Family University,Private,45000,71000,107.13622%,97.13135%
Hope College,Liberal Arts,39400,69000,93.80371%,94.39525%
Houghton College,Liberal Arts,36000,57100,85.70897%,78.11549%
Houston Baptist University,Private,39600,74300,94.27987%,101.64590%
Howard Payne University,Private,29500,50500,70.23374%,69.08638%
Howard University,Private Research Universities,49000,77500,116.65944%,106.02365%
Humboldt State University,State Schools,41600,77500,99.04148%,106.02365%
Hunter College - The City University of New York (CUNY),State Schools,45500,71100,108.32662%,97.26815%
Huntingdon College,Liberal Arts,30100,51600,71.66223%,70.59123%
Husson University,Private,40400,56600,96.18452%,77.43147%
Idaho State University (ISU),State Schools,46200,69800,109.99318%,95.48969%
Illinois Institute of Technology (IIT),"Private Research Universities, Engineering",54900,96300,130.70619%,131.74294%
Illinois State University,State Schools,40800,75000,97.13684%,102.60353%
Illinois Wesleyan University (IWU),Liberal Arts,41900,72500,99.75572%,99.18342%
Immaculata University,Private Research Universities,48900,61200,116.42136%,83.72448%
Indiana Institute Of Technology,Private,41000,56500,97.61300%,77.29466%
Indiana State University,State Schools,41700,68300,99.27956%,93.43762%
"Indiana University (IU), Bloomington","State Schools, Party",43000,79800,102.37461%,109.17016%
"Indiana University (IU), Northwest",State Schools,37100,60400,88.32786%,82.63005%
"Indiana University (IU), South Bend",State Schools,38300,62700,91.18483%,85.77656%
Indiana University of Pennsylvania (IUP),State Schools,39300,71200,93.56563%,97.40496%
Indiana University-Purdue University Fort Wayne (IPFW),State Schools,38800,65400,92.37523%,89.47028%
Indiana University-Purdue University Indianapolis (IUPUI),State Schools,41200,68700,98.08916%,93.98484%
Indiana Wesleyan University (IWU),Private,40900,59700,97.37492%,81.67241%
Iona College,Private,44300,90500,105.46965%,123.80827%
Iowa State University,State Schools,44900,83500,106.89814%,114.23194%
Ithaca College,Private,39800,90100,94.75603%,123.26105%
ITT Technical Institute,"Private for-profit, Private, Engineering",40400,62000,96.18452%,84.81892%
Jackson State University (JSU),State Schools,35400,53200,84.28049%,72.78011%
Jacksonville State University (JSU),State Schools,37400,61300,89.04210%,83.86129%
Jacksonville University,Private,46300,66400,110.23126%,90.83833%
James Madison University (JMU),State Schools,46800,79500,111.42167%,108.75975%
John Brown University,Private,43000,69400,102.37461%,94.94247%
John Carroll University,Private,42700,85100,101.66037%,116.42081%
Johns Hopkins University,Private Research Universities,57900,90100,137.84860%,123.26105%
Johnson & Wales University (JWU),Private,36800,58300,87.61362%,79.75715%
Judson University,Private,39000,51800,92.85139%,70.86484%
Juniata College,Liberal Arts,46000,72000,109.51702%,98.49939%
Kalamazoo College,Liberal Arts,38200,69500,90.94675%,95.07928%
Kansas State University (KSU),State Schools,42900,76500,102.13653%,104.65561%
Kaplan College,"Private for-profit, Private",36600,48700,87.13746%,66.62390%
Kean University,State Schools,41800,73400,99.51764%,100.41466%
Keene State College,State Schools,39400,67600,93.80371%,92.47999%
Kennesaw State University,State Schools,40100,67400,95.47027%,92.20638%
Kent State University,State Schools,37500,64600,89.28018%,88.37584%
Kenyon College,Liberal Arts,40600,92500,96.66068%,126.54436%
Kettering University,"Private, Engineering",55900,92500,133.08699%,126.54436%
Keuka College,Private,40300,54400,95.94644%,74.42176%
King College,Private,36000,65600,85.70897%,89.74389%
King's College,Private,35800,87700,85.23281%,119.97773%
Knox College,Liberal Arts,39500,67700,94.04179%,92.61679%
Kutztown University of Pennsylvania,State Schools,37400,65000,89.04210%,88.92306%
La Roche College,Private,33100,60000,78.80464%,82.08283%
La Salle University (Philadelphia),Private,44600,94400,106.18390%,129.14365%
Lafayette College,Liberal Arts,54800,107000,130.46811%,146.38104%
Lake Superior State University,State Schools,40500,66100,96.42260%,90.42792%
Lakeland College,Private,39600,57800,94.27987%,79.07312%
Lamar University,State Schools,42000,77400,99.99380%,105.88685%
Lander University,State Schools,33500,58400,79.75696%,79.89395%
Langston University,State Schools,42800,55700,101.89845%,76.20023%
Lawrence Technological University,"Private, Engineering",48300,88400,114.99287%,120.93537%
Lawrence University,Liberal Arts,36900,88300,87.85170%,120.79856%
Le Moyne College,Private,38900,70700,92.61331%,96.72093%
"Lee University (Cleveland, TN)",Private,29800,51100,70.94798%,69.90721%
Lehigh University,Private Research Universities,56400,111000,134.27739%,151.85323%
Lenoir-Rhyne College,Private,40100,57900,95.47027%,79.20993%
Lesley University,Private,40400,66100,96.18452%,90.42792%
LeTourneau University,Private,49800,69800,118.56408%,95.48969%
Lewis & Clark College,Liberal Arts,36500,74100,86.89938%,101.37229%
Lewis University,Private,40300,75000,95.94644%,102.60353%
Liberty University,Private,35800,58400,85.23281%,79.89395%
Limestone College,Private,36600,55100,87.13746%,75.37940%
Lincoln University,State Schools,39400,60000,93.80371%,82.08283%
Lindenwood University,Private,36100,58700,85.94706%,80.30437%
Linfield College,Liberal Arts,44800,71700,106.66006%,98.08898%
Lipscomb University,Private,38800,73300,92.37523%,100.27785%
Loma Linda University,Private,69100,80400,164.51362%,109.99099%
Long Island University,Private Research Universities,41500,85000,98.80340%,116.28401%
Longwood University,State Schools,37900,51300,90.23250%,70.18082%
Louisiana State University (LSU),State Schools,44400,79700,105.70774%,109.03336%
Louisiana Tech University,State Schools,42800,86000,101.89845%,117.65205%
Loyola Marymount University,Private,43500,92400,103.56501%,126.40755%
Loyola University - New Orleans,Private,39500,64900,94.04179%,88.78626%
Loyola University Maryland,Private,46500,97600,110.70743%,133.52140%
Loyola University of Chicago,Private Research Universities,41900,79300,99.75572%,108.48614%
Lubbock Christian University,Private,33800,62400,80.47120%,85.36614%
Luther College,Liberal Arts,39300,68300,93.56563%,93.43762%
Lycoming College,Liberal Arts,36400,71700,86.66130%,98.08898%
Lynchburg College,Private,39300,66500,93.56563%,90.97513%
Macalester College,Liberal Arts,43400,84600,103.32693%,115.73679%
Madonna University,Private,38100,62400,90.70866%,85.36614%
Malone University,Private,37900,59500,90.23250%,81.39880%
Manchester College,Private,34400,73200,81.89969%,100.14105%
