DOL Salary Data,,,,,,,,
:: Assumed Salaries shown in black font,,,,,,,,
,Bill and account collectors," $30,940 "," $10,067 "," $21,250 "," $25,440 "," $30,940 "," $37,910 "," $46,430 "
,Billing and posting clerks and machine operators," $31,720 "," $9,424 "," $22,020 "," $26,490 "," $31,720 "," $38,270 "," $45,970 "
,Bindery workers," $28,190 "," $11,051 "," $17,930 "," $21,800 "," $28,190 "," $36,660 "," $45,720 "
,Biochemists and biophysicists," $82,390 "," $35,156 "," $44,990 "," $59,950 "," $82,390 "," $108,010 "," $138,820 "
,"Biological science teachers, postsecondary"," $73,980 "," $48,271 "," $41,060 "," $53,190 "," $73,980 "," $105,080 "," $155,020 "
,"Biological scientists, all other"," $66,510 "," $22,064 "," $36,750 "," $50,420 "," $66,510 "," $81,650 "," $100,580 "
,Biological technicians," $38,700 "," $14,409 "," $24,540 "," $30,650 "," $38,700 "," $49,340 "," $61,380 "
,Biomedical engineers," $78,860 "," $28,369 "," $49,480 "," $60,980 "," $78,860 "," $100,890 "," $123,270 "
,Boilermakers," $56,100 "," $16,462 "," $32,980 "," $43,240 "," $56,100 "," $69,190 "," $80,930 "
,Bookbinders," $30,630 "," $13,791 "," $18,450 "," $22,920 "," $30,630 "," $41,040 "," $52,920 "
,"Bookkeeping, accounting, and auditing clerks"," $33,450 "," $11,023 "," $21,280 "," $26,910 "," $33,450 "," $41,280 "," $50,450 "
,Brickmasons and blockmasons," $46,740 "," $18,931 "," $27,970 "," $35,580 "," $46,740 "," $61,210 "," $76,910 "
,Bridge and lock tenders," $42,380 "," $9,049 "," $25,540 "," $34,860 "," $42,380 "," $50,270 "," $54,980 "
,Broadcast news analysts," $50,400 "," $51,080 "," $24,790 "," $32,430 "," $50,400 "," $81,170 "," $138,690 "
,Broadcast technicians," $32,960 "," $20,161 "," $17,990 "," $22,960 "," $32,960 "," $49,590 "," $66,620 "
,Brokerage clerks," $40,180 "," $14,098 "," $27,190 "," $32,560 "," $40,180 "," $50,410 "," $62,160 "
,Budget analysts," $66,660 "," $22,154 "," $43,570 "," $53,460 "," $66,660 "," $83,110 "," $100,880 "
,Building and grounds cleaning and maintenance occupations," $22,350 "," $9,764 "," $15,980 "," $18,150 "," $22,350 "," $29,370 "," $38,070 "
,"Building cleaning workers, all other"," $27,370 "," $7,886 "," $17,800 "," $21,950 "," $27,370 "," $32,500 "," $39,220 "
,Bus and truck mechanics and diesel engine specialists," $40,250 "," $12,710 "," $26,590 "," $32,660 "," $40,250 "," $49,680 "," $59,700 "
,"Bus drivers, school"," $27,400 "," $8,856 "," $16,000 "," $20,370 "," $27,400 "," $34,210 "," $41,010 "
,"Bus drivers, transit and intercity"," $34,180 "," $13,490 "," $20,540 "," $25,880 "," $34,180 "," $45,940 "," $55,600 "
,Business and financial operations occupations," $58,910 "," $28,130 "," $33,490 "," $43,530 "," $58,910 "," $79,550 "," $104,700 "
,"Business operations specialists, all other"," $60,610 "," $27,638 "," $32,800 "," $44,240 "," $60,610 "," $81,220 "," $105,350 "
,"Business teachers, postsecondary"," $73,320 "," $44,218 "," $34,960 "," $49,380 "," $73,320 "," $105,470 "," $147,050 "
,Butchers and meat cutters," $28,850 "," $10,584 "," $17,940 "," $22,120 "," $28,850 "," $37,370 "," $45,470 "
,Cabinetmakers and bench carpenters," $29,570 "," $10,334 "," $19,460 "," $23,610 "," $29,570 "," $37,000 "," $45,670 "
,Camera and photographic equipment repairers," $35,420 "," $17,402 "," $20,870 "," $26,990 "," $35,420 "," $47,370 "," $63,840 "
,"Camera operators, television, video, and motion picture"," $42,940 "," $23,960 "," $20,910 "," $28,890 "," $42,940 "," $61,300 "," $82,600 "
,"Captains, mates, and pilots of water vessels"," $64,240 "," $30,976 "," $30,760 "," $43,870 "," $64,240 "," $89,440 "," $114,720 "
,Cardiovascular technologists and technicians," $48,300 "," $17,771 "," $25,940 "," $33,680 "," $48,300 "," $62,950 "," $76,220 "
,Cargo and freight agents," $36,960 "," $13,481 "," $22,190 "," $28,280 "," $36,960 "," $47,740 "," $58,110 "
,Carpenters," $39,470 "," $19,178 "," $24,600 "," $30,410 "," $39,470 "," $53,580 "," $70,750 "
,Carpet installers," $37,230 "," $20,314 "," $21,340 "," $27,260 "," $37,230 "," $53,300 "," $70,780 "
,Cartographers and photogrammetrists," $53,050 "," $23,201 "," $32,520 "," $41,050 "," $53,050 "," $71,030 "," $90,410 "
,Cashiers," $17,820 "," $4,719 "," $14,870 "," $15,680 "," $17,820 "," $20,160 "," $24,780 "
,Cement masons and concrete finishers," $35,440 "," $17,332 "," $23,150 "," $28,200 "," $35,440 "," $47,590 "," $63,730 "
,Cementing and gluing machine operators and tenders," $28,890 "," $9,403 "," $19,630 "," $23,290 "," $28,890 "," $35,790 "," $43,360 "
,Chefs and head cooks," $40,090 "," $18,213 "," $22,860 "," $30,080 "," $40,090 "," $53,510 "," $69,560 "
,Chemical engineers," $88,280 "," $28,999 "," $56,090 "," $70,350 "," $88,280 "," $108,470 "," $132,980 "
,Chemical equipment operators and tenders," $45,140 "," $12,091 "," $28,530 "," $35,610 "," $45,140 "," $54,660 "," $63,020 "
,Chemical plant and system operators," $54,270 "," $13,263 "," $36,160 "," $43,880 "," $54,270 "," $64,550 "," $73,450 "
,Chemical technicians," $42,070 "," $14,985 "," $26,170 "," $32,640 "," $42,070 "," $53,490 "," $65,490 "
,"Chemistry teachers, postsecondary"," $68,760 "," $35,894 "," $40,600 "," $52,320 "," $68,760 "," $93,260 "," $127,770 "
,Chemists," $68,220 "," $29,074 "," $38,890 "," $49,940 "," $68,220 "," $91,720 "," $114,880 "
,Chief executives," $160,720 "," $57,378 "," $71,000 "," $104,550 "," $160,720 "," $205,027 "," $250,432 "
,Child care workers," $19,240 "," $6,671 "," $15,340 "," $16,640 "," $19,240 "," $23,900 "," $29,620 "
,"Child, family, and school social workers"," $39,960 "," $17,068 "," $26,050 "," $31,950 "," $39,960 "," $52,410 "," $67,360 "
,Chiropractors," $67,650 "," $48,989 "," $32,750 "," $46,400 "," $67,650 "," $97,110 "," $150,570 "
,Choreographers," $37,860 "," $19,059 "," $18,210 "," $25,050 "," $37,860 "," $55,800 "," $69,070 "
,Civil engineering technicians," $45,970 "," $15,191 "," $28,640 "," $35,570 "," $45,970 "," $57,890 "," $69,410 "
,Civil engineers," $76,590 "," $26,781 "," $49,620 "," $60,650 "," $76,590 "," $96,800 "," $118,320 "
,"Claims adjusters, examiners, and investigators"," $57,130 "," $18,631 "," $34,820 "," $43,300 "," $57,130 "," $72,130 "," $85,810 "
,Cleaners of vehicles and equipment," $19,690 "," $7,739 "," $15,550 "," $17,090 "," $19,690 "," $24,660 "," $31,970 "
,"Cleaning, washing, and metal pickling equipment operators and tenders"," $24,680 "," $9,330 "," $17,600 "," $20,390 "," $24,680 "," $31,710 "," $39,400 "
,Clergy," $42,950 "," $19,951 "," $22,940 "," $30,970 "," $42,950 "," $56,990 "," $75,320 "
,"Clinical, counseling, and school psychologists"," $66,040 "," $27,189 "," $39,270 "," $50,210 "," $66,040 "," $85,270 "," $109,470 "
,Coaches and scouts," $28,380 "," $20,323 "," $15,910 "," $18,600 "," $28,380 "," $43,690 "," $62,750 "
,"Coating, painting, and spraying machine setters, operators, and tenders"," $29,240 "," $9,531 "," $19,710 "," $23,660 "," $29,240 "," $36,260 "," $43,910 "
,"Coil winders, tapers, and finishers"," $28,030 "," $8,370 "," $19,250 "," $22,840 "," $28,030 "," $34,500 "," $40,700 "
,"Coin, vending, and amusement machine servicers and repairers"," $30,460 "," $10,664 "," $18,700 "," $23,860 "," $30,460 "," $38,220 "," $47,080 "
,"Combined food preparation and serving workers, including fast food"," $17,220 "," $3,996 "," $14,820 "," $15,710 "," $17,220 "," $19,270 "," $22,920 "
